job title,salary estimate,job description,rating,company name,location,size,founded,type of ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age,python,R,spark,aws,cloud,excel
Data Scientist 2,$52K - $95K,"description
digital health and analytics within humana is dedicated to transform members’ health experience and humana’s services using technology and analytics. we are looking for a data scientist 2 who will design studies and utilize cutting-edge predictive modeling techniques, test rigorous hypotheses, and turn data and insights into actionable plans. being part of talented team of data scientists with broad skills and applications, the data scientist will work cross-functionally and collaboratively with teams across the enterprise through innovative r&d, machine learning, and cutting-edge platforms. the scope of our work includes forecasting, predictive modeling, designing business experiments, and roi studies. the ideal candidate will have hands-on experience on healthcare data, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.
responsibilities
the data scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. creates reports, projections, models, and presentations to support business strategy and tactics. understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. follows established guidelines/procedures.
responsibilities
develop and validate statistical forecasting models or predictive models and tools
research and evaluate innovative analytical methodologies, approaches, and solutions
collaborate with analytic and data teams to set objectives, approaches, and work plans
interprets and communicates analytic results to analytical and non-analytical business partners
understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas
make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed

required qualifications
master's degree in a quantitative discipline, such as computer science, mathematics or statistics and/or related quantitative field
2+ years of experience in advanced data analytics
demonstrated experience with sas, sql, matlab, datarobot, python or similar statistical and scripting tools
experience developing and validating statistical forecasting models or predictive models
experience interpreting and communicating analytic results to analytical and non-analytical business partners
naturally curious and comfortable with ambiguity and demonstrate critical thinking
clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to non-technical business insights
strong interpersonal and consulting skills
preferred qualifications
phd in a quantitative discipline, such as computer science, mathematics or statistics and/or related quantitative field
healthcare or managed care experience
experience building large-scale predictive models
experience in big data environment specifically pyspark and/or databricks
experience in deep learning, natural language processing, and recommendation systems
additional information
this position is based on either humana’s headquarters in louisville-ky or humana’s studio-h in boston-ma.
scheduled weekly hours
40",3.9,Humana,"Louisville, KY",10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),52,95,73.5,Humana,KY,59,1,0,1,0,0,0
Lead Data Scientist,$94K - $155K,"description
the lead data scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. the lead data scientist works on problems of diverse scope and complexity ranging from moderate to substantial.
responsibilities
the lead data scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. creates reports, projections, models, and presentations to support business strategy and tactics. advises executives to develop functional strategies (often segment specific) on matters of significance. exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, uses independent judgment requiring analysis of variable factors and determining the best course of action.work closely with ai implementation lead to understand the key business feedback and implement in models when necessaryability to work within other workstreams in an overflow capacity

required qualifications
phd + 2 years’ experience, master’s degree + 4 years’ experience or bachelor’s degree + 6 years’ experience.
data analytics, computer science or related quantitative program.
2+ years’ experience in project, process or people leadership
experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
successful demonstrated experience in working on problems of diverse scope and complexity ranging from moderate to substantial
experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting
experience in creating reports, projections, models, and presentations to support business
ability to exercise independent judgment and decision making on complex issues regarding job duties and related tasks
ability to works under minimal supervision, using independent judgment
must be passionate about contributing to an organization focused on continuously improving consumer experiences
preferred qualifications
phd
additional information
scheduled weekly hours
40",3.9,Humana,"Boston, MA",10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),94,155,124.5,Humana,MA,59,0,0,0,0,0,0
Data Scientist - Nutrisystem,$90K - $148K,description/responsibilities,2.7,Tivity Health,"Fort Washington, PA",201 to 500 Employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,90,148,119.0,Tivity Health,PA,39,0,0,0,0,0,0
Data Scientist,$74K - $123K,"data scientist



location



atlanta - midtown



department



office



employment duration



full time




apply now",2.6,Purchasing Power,"Atlanta, GA",201 to 500 Employees,2001,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),74,123,98.5,Purchasing Power,GA,19,0,0,0,0,0,0
Data Analyst,$36K - $65K,description:,4.1,Conservice,"Logan, UT",1001 to 5000 Employees,2000,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),36,65,50.5,Conservice,UT,20,0,0,0,0,0,0
Data Scientist,$75K - $131K,overview,3.9,Analysis Group,"Boston, MA",1001 to 5000 Employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),75,131,103.0,Analysis Group,MA,39,0,0,0,0,0,0
Data Scientist,$64K - $109K,"data scientist - fort walton beach, fl



location



fort walton beach, fl



company order number

2021-97fl



# of openings

1




apply now",4.4,Intuitive Research and Technology,"Fort Walton Beach, FL",201 to 500 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),64,109,86.5,Intuitive Research and Technology,FL,21,0,0,0,0,0,0
Data Analyst,$59K - $73K,"data analyst
 

  job detailsjob location yakima - yakima, waposition type full timeeducation level bachelor's degreesalary range $58,900.00 - $73,600.00 salary/yearjob shift dayjob category information technologydescription who is comprehensive healthcare?

comprehensive healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. we take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

what are we looking for in a data analyst?

as a member of the information services department, the data analyst supports comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. this position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. the work of the data analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. previous experience performing data analytics in the healthcare field is required. the data analyst will work on-site in our yakima office.

data analyst duties may include:



	integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications

analyzing data to identify and interpret patterns or trends in data sets

performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements

assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements

supporting the implementation, testing, and validation of data & software systems

assisting with ongoing data architecture processes & governance

providing tier ii technical support to employees 

documenting all work as it is completed

qualifications:



	bachelor’s degree in computer science, data analytics, or related field

three years of experience with data analysis within the healthcare industry

what comprehensive healthcare can offer you 

training and development



	a variety of career opportunities in a wide range of settings with room for mobility and promotion

regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs

innovative program & services



	a strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment 

innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment

joint commission-accredited organization committed to continuous quality improvement

established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services

excellent benefits



	competitive salaries within our communities and industry

healthcare coverage for employee and qualified family members

generous vacation, paid holiday and sick leave policies

access to employee assistance program services

agency-funded retirement plan with contributions equal to 5% of compensation

additional retirement investment opportunities with a 50% investment match of up to 4% of compensation

agency-funded life and disability insurance program 



equal opportunity employer comprehensive healthcare is proud to be an equal opportunity employer. we do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. we value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. the human resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",3.5,Comprehensive Healthcare,"Yakima, WA",501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,59,73,66.0,Comprehensive Healthcare,WA,49,0,0,0,0,0,0
Spark/Big Data Engineer,$52K - $101K,"the data consumption team of decision sciences and transformation (dsat) is seeking a highly motivated spark / big data developer to start or continue an it career on the big data platform project. teaming up with architects, scrum masters, leads, managers and directors, you will work in an agile environment to make the data on the big data platform accessible for the needs of the organization through atomic models and analytical data stores. in this role, you will coordinate with a variety of it departments to elicit and translate high level business requirements into detailed system requirements. you will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. you should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
basic qualifications:
at least two years of experience with sql and java or scala
experience with manipulating and transforming data
exposure to nosql databases, spark and the hadoop ecosystem (mapreduce, oozie, hive, pig)
strong critical thinking, decision making, and problem-solving skills
excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
bachelor’s degree in a computer related field or equivalent professional experience required
preferred qualifications:
experience in designing efficient and robust etl/elt workflows, schedulers, and event-based triggers
experience with spark core and spark sql
experience as a big data developer
exposure to data mining, data engineering and data modeling
exposure to graph databases
note: the safety of our associates, both current and future, is geico’s highest priority. at this time, most of our associates are working remotely due to the current covid-19 pandemic. candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. once geico determines it is safe for associates to return to the office, candidates may be required to work in our chevy chase, md office.
benefits:
as spark/big data developer, you’ll enjoy our total rewards program* to help secure your financial future and preserve your health and well-being, including:premier medical, dental and vision insurance with no waiting period**paid vacation, sick and parental leave401(k) plan with profit sharingtuition reimbursementpaid training and licensuresbenefits may be different by location. benefit eligibility requirements vary and may include length of service.
**coverage begins with the pay period after hire date. must enroll in new hire benefits within 30 days of the date of hire for coverage to take effect.
the equal employment opportunity policy of the geico companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. geico hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
geico reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the company. this applies to all applicants and associates. geico also provides a work environment in which each associate is able to be productive and work to the best of their ability. we do not condone or tolerate an atmosphere of intimidation or harassment. we expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.
#li-mw1",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),52,101,76.5,GEICO,MD,84,0,0,1,0,0,0
Data Scientist,$93K - $152K,"ais has a workshare opportunity for a data scientist (ts/fspoly required) on a large, newly awarded contract. in this role you will develop machine learning, data mining, statistical and graph-based algorithms to analyze and make sense of datasets; prototype or consider several algorithms and decide upon final model based on suitable performance metrics.",4.4,"Assured Information Security, Inc. (AIS)","Fort Meade, MD",201 to 500 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),93,152,122.5,"Assured Information Security, Inc. (AIS)",MD,19,0,0,0,0,0,0
